brand,model,cc,segment,year,speedometer_type,top_speed_kmh,mileage_kmpl,fuel_tank_liters,factory_price_inr,gst_rate_pct,gst_amount_inr,ex_showroom_inr,on_road_price_inr,overall_score,price_increase_scenario_pct,buyer_behaviour,price_sensitivity,gst_impact_pct,price_difference,value_score
Hero,Glamour,125,budget,2023,Semi-Digital,112,50.1,13.8,70312,28.0,19688,90000,105636,68,6.1,Will likely switch brand,High,28.00091022869496,35324,0.0322503691923208
Hero,Super Splendor,125,budget,2022,Semi-Digital,107,54.3,11.6,71875,28.0,20125,92000,109888,67,2.9,Might reconsider,Medium,28.000000000000004,38013,0.033107345661036694
Tvs,Apache RTR 160,159,mid,2022,Semi-Digital,137,42.2,12.8,89844,28.0,25156,115000,133908,60,4.7,Might reconsider,Medium,27.999643827078046,44064,0.018908504346267587
Bajaj,Pulsar N250,249,mid,2025,Digital,144,29.7,16.1,139062,28.0,38938,178000,206887,66,7.3,Will definitely switch,Very High,28.000460226373846,67825,0.009474737417044087
Honda,Shine,124,budget,2022,Semi-Digital,107,53.0,13.4,73438,28.0,20562,94000,114568,67,8.6,Will likely switch brand,High,27.9991285165718,41130,0.030994693108023184
Bajaj,Platina 110 H-Gear,115,budget,2024,Semi-Digital,112,58.9,12.3,65625,28.0,18375,84000,97976,64,1.4,Likely to buy,Low,28.000000000000004,32351,0.038474728504939985
Yamaha,FZ-X,149,mid,2023,Digital,117,49.3,13.3,110938,28.0,31062,142000,164844,76,8.4,Will likely switch brand,High,27.999423101191656,53906,0.0227293683725219
Hero,Mavrick 440,440,premium,2024,Digital,182,23.0,17.5,161832,31.0,50168,212000,242231,77,13.3,Will definitely switch,Very High,31.00004943398092,80399,0.007311202942645656
Bajaj,Pulsar 125,124,budget,2022,Semi-Digital,109,59.4,13.7,77344,28.0,21656,99000,113623,61,3.3,Might reconsider,Medium,27.999586263963593,36279,0.031889670225218485
Bajaj,Pulsar RS200,199,mid,2025,Digital,140,39.5,11.2,133594,28.0,37406,171000,201629,75,4.8,Might reconsider,Medium,27.999760468284503,68035,0.014692826924698333
Suzuki,Gixxer SF,155,mid,2024,Semi-Digital,139,38.5,10.2,106250,28.0,29750,136000,160435,67,5.7,Will likely switch brand,High,28.000000000000004,54185,0.016078162495714775
Hero,Glamour,125,budget,2023,Semi-Digital,118,57.0,13.6,69531,28.0,19469,89000,106623,67,9.9,Will likely switch brand,High,28.000460226373846,37092,0.0358177879069244
Suzuki,Gixxer 250,249,mid,2021,Digital,154,31.3,16.1,139844,28.0,39156,179000,212074,64,10.6,Will definitely switch,Very High,27.999771173593434,72230,0.009445759499042788
Yamaha,MT-15 V2,155,mid,2022,Digital,131,40.2,12.1,132031,28.0,36969,169000,195317,73,2.8,Might reconsider,Medium,28.000242367322826,63286,0.015024805828473714
Honda,Unicorn,160,mid,2024,Semi-Digital,121,38.4,11.7,87500,28.0,24500,112000,130024,66,14.2,Will definitely switch,Very High,28.000000000000004,42524,0.019491786131791054
Bajaj,CT100,102,budget,2022,Analog,100,74.4,9.0,49219,28.0,13781,63000,75969,63,7.5,Will definitely switch,Very High,27.99934984457222,26750,0.06169885084705604
Honda,Shine,124,budget,2024,Semi-Digital,106,56.1,13.5,75000,28.0,21000,96000,113238,59,4.9,Might reconsider,Medium,28.000000000000004,38238,0.029229587241032164
Yamaha,FZS 25,249,mid,2022,Digital,163,34.9,13.3,124219,28.0,34781,159000,179432,70,11.7,Will definitely switch,Very High,27.999742390455566,55213,0.01361518569708859
Hero,Xtreme 160R,163,mid,2024,Digital,134,40.9,12.7,107031,28.0,29969,137000,156954,76,4.9,Might reconsider,Medium,28.000298978800537,49923,0.019804528715419805
Honda,CB200X,184,mid,2024,Digital,131,42.6,11.6,110156,28.0,30844,141000,161496,71,3.8,Might reconsider,Medium,28.000290497113184,51340,0.01872863724178927
Hero,Xtreme 125R,125,budget,2021,Digital,109,55.3,11.3,75781,28.0,21219,97000,112788,74,13.5,Will definitely switch,Very High,28.00042226943429,37007,0.036282228605880054
Royal Enfield,Meteor 350,349,premium,2025,Semi-Digital,156,32.7,16.9,155469,28.0,43531,199000,234943,74,8.5,Will likely switch brand,High,27.999794171185254,79474,0.010299519457911068
Yamaha,FZS 25,249,mid,2023,Digital,165,32.6,14.9,135156,28.0,37844,173000,200616,75,1.4,Likely to buy,Low,28.000236763443727,65460,0.012187462615145353
Bajaj,Dominar 400,373,premium,2025,Digital,209,23.2,14.7,190076,31.0,58924,249000,287627,76,3.1,Might reconsider,Medium,31.000231486352824,97551,0.006130161632948228
Honda,Hornet 2.0,184,mid,2023,Digital,133,43.9,13.5,103906,28.0,29094,133000,154781,77,11.8,Will definitely switch,Very High,28.000307970665794,50875,0.021839243834837607
Hero,Xpulse 200,199,mid,2023,Digital,132,41.8,13.6,117188,28.0,32812,150000,176007,73,14.4,Will definitely switch,Very High,27.999453868996827,58819,0.017336810467765484
Royal Enfield,Hunter 350,349,premium,2021,Semi-Digital,162,33.1,19.7,129688,28.0,36312,166000,196416,70,9.5,Will likely switch brand,High,27.999506507926718,66728,0.011796391332681655
Tvs,Apache RTR 160,159,mid,2022,Semi-Digital,126,44.7,12.2,94531,28.0,26469,121000,140972,66,5.4,Will definitely switch,Very High,28.000338513291933,46441,0.020927560082853333
Tvs,Apache RTR 160,159,mid,2025,Semi-Digital,124,45.2,10.3,90625,28.0,25375,116000,136297,69,1.6,Likely to buy,Low,28.000000000000004,45672,0.022882381857267587
Ktm,Adventure 390,373,premium,2024,Digital,195,20.8,18.2,281679,31.0,87321,369000,426406,75,2.9,Might reconsider,Medium,31.00018105716081,144727,0.0036584851057442904
Tvs,Sport,99,budget,2023,Analog,88,65.5,8.2,50781,28.0,14219,65000,79195,60,5.6,Will definitely switch,Very High,28.000630156948464,28414,0.04962434497127344
Honda,CB350 H'ness,348,premium,2022,Digital,155,33.2,15.2,150781,28.0,42219,193000,225731,79,10.1,Will definitely switch,Very High,28.000212228331158,74950,0.011619139595359079
Hero,Xpulse 200,199,mid,2021,Digital,121,44.4,13.7,120312,28.0,33688,154000,177450,70,6.9,Will likely switch brand,High,28.00053195026265,57138,0.017514792899408285
Hero,Super Splendor,125,budget,2020,Semi-Digital,105,60.0,13.7,75781,28.0,21219,97000,113356,67,9.0,Will likely switch brand,High,28.00042226943429,37575,0.03546349553618688
Royal Enfield,Bullet 350,346,premium,2021,Analog,144,35.0,18.7,132031,28.0,36969,169000,200136,73,7.6,Will likely switch brand,High,28.000242367322826,68105,0.01276631890314586
Royal Enfield,Bullet 350,346,premium,2021,Analog,150,28.3,14.2,129688,28.0,36312,166000,190923,63,8.9,Will definitely switch,Very High,27.999506507926718,61235,0.009338319636712182
Ktm,Duke 200,199,mid,2021,Digital,124,37.9,10.0,164062,28.0,45938,210000,242534,75,5.5,Will likely switch brand,High,28.00039009642696,78472,0.011720006267162542
Royal Enfield,Interceptor 650,648,premium,2022,Analog,196,22.4,17.8,237405,31.0,73595,311000,363757,63,4.7,Might reconsider,Medium,30.999768328383986,126352,0.0038795129715716806
Hero,Xpulse 200,199,mid,2022,Digital,129,42.0,11.5,116406,28.0,32594,149000,173450,69,9.9,Will likely switch brand,High,28.000274899919248,57044,0.01670798501008936
Bajaj,Pulsar RS200,199,mid,2025,Digital,137,40.7,13.3,130469,28.0,36531,167000,191255,74,11.6,Will definitely switch,Very High,27.999754731008895,60786,0.015747562155237774
Tvs,Star City Plus,109,budget,2020,Semi-Digital,96,69.1,8.1,65625,28.0,18375,84000,100717,62,13.8,Will definitely switch,Very High,28.000000000000004,35092,0.04253700964087492
Suzuki,Gixxer SF 250,249,mid,2021,Digital,156,30.7,18.0,162500,28.0,45500,208000,237467,70,2.6,Might reconsider,Medium,28.000000000000004,74967,0.009049678481641659
Yamaha,R15 V4,155,mid,2024,Digital,133,38.3,11.8,131250,28.0,36750,168000,196484,74,8.9,Will likely switch brand,High,28.000000000000004,65234,0.014424584190061276
Tvs,Ronin,225,mid,2020,Digital,141,32.6,16.8,133594,28.0,37406,171000,198203,70,5.8,Will likely switch brand,High,27.999760468284503,64609,0.011513448333274471
Hero,Xpulse 200,199,mid,2025,Digital,125,39.9,12.6,121094,28.0,33906,155000,177502,70,11.7,Will definitely switch,Very High,27.999735742481047,56408,0.01573503397144821
Ktm,Duke 390,373,premium,2021,Digital,203,21.3,17.6,232061,31.0,71939,304000,354552,81,13.2,Will definitely switch,Very High,31.00003878290622,122491,0.0048661409327827795
Royal Enfield,Thunderbird 350X,346,premium,2022,Semi-Digital,147,33.7,16.2,135938,28.0,38062,174000,203939,66,11.6,Will definitely switch,Very High,27.999529197133988,68001,0.010906202344818795
Suzuki,Gixxer 250,249,mid,2025,Digital,148,30.8,18.4,142969,28.0,40031,183000,210633,66,14.1,Will definitely switch,Very High,27.999776175254777,67664,0.009650909401660709
Hero,Super Splendor,125,budget,2023,Semi-Digital,107,51.6,12.4,73438,28.0,20562,94000,109421,59,9.3,Will definitely switch,Very High,27.9991285165718,35983,0.027822812805585767
Hero,Xtreme 160R,163,mid,2022,Digital,121,39.2,10.9,100781,28.0,28219,129000,148761,70,8.1,Will likely switch brand,High,28.00031752016749,47980,0.018445694772151303
Royal Enfield,Meteor 350,349,premium,2023,Semi-Digital,144,30.5,15.1,166406,28.0,46594,213000,249468,76,8.3,Will likely switch brand,High,28.000192300758385,83062,0.009291772892715698
Hero,Xpulse 200,199,mid,2022,Digital,133,43.3,13.8,114062,28.0,31938,146000,170379,76,7.9,Will likely switch brand,High,28.00056109835002,56317,0.019314586891577012
Royal Enfield,Continental GT 650,648,premium,2021,Analog,171,20.9,15.1,271756,31.0,84244,356000,405274,71,7.6,Will likely switch brand,High,30.999867528223845,133518,0.003661473472268144
Honda,CB350RS,348,premium,2021,Digital,144,32.4,15.3,180469,28.0,50531,231000,271166,78,4.4,Might reconsider,Medium,27.999822684228313,90697,0.009319752476342903
Honda,CD 110 Dream,109,budget,2024,Analog,86,75.5,9.2,64844,28.0,18156,83000,100063,61,6.3,Will definitely switch,Very High,27.999506507926718,35219,0.046026003617720836
Hero,Mavrick 440,440,premium,2020,Digital,173,20.5,14.5,163359,31.0,50641,214000,251449,80,5.2,Will likely switch brand,High,30.999822476876083,88090,0.006522197344193057
Bajaj,Pulsar 150,149,mid,2024,Semi-Digital,111,60.5,11.3,96875,28.0,27125,124000,144662,73,13.8,Will definitely switch,Very High,28.000000000000004,47787,0.030529786675146203
Tvs,Apache RTR 160 4V,159,mid,2025,Digital,135,40.6,11.9,103125,28.0,28875,132000,153357,73,2.4,Might reconsider,Medium,28.000000000000004,50232,0.01932614748593152
Royal Enfield,Meteor 350,349,premium,2024,Semi-Digital,163,34.8,19.5,175000,28.0,49000,224000,258120,68,1.2,Likely to buy,Low,28.000000000000004,83120,0.00916782891678289
Ktm,Duke 390,373,premium,2025,Digital,191,23.8,15.4,229008,31.0,70992,300000,341067,79,10.2,Will definitely switch,Very High,30.999790400335357,112059,0.005512699850762461
Yamaha,R15 V4,155,mid,2024,Digital,131,44.3,12.0,150781,28.0,42219,193000,223767,69,3.0,Might reconsider,Medium,28.000212228331158,72986,0.01366019118100524
Suzuki,Gixxer 250,249,mid,2023,Digital,161,35.4,14.0,156250,28.0,43750,200000,234058,69,11.7,Will definitely switch,Very High,28.000000000000004,77808,0.010435874868622307
Bajaj,Dominar 400,373,premium,2024,Digital,199,21.3,19.4,170229,31.0,52771,223000,253720,80,10.3,Will definitely switch,Very High,31.000005874439722,83491,0.006716064953492039
Yamaha,R15 V4,155,mid,2020,Digital,128,42.3,12.0,129688,28.0,36312,166000,191228,75,14.7,Will definitely switch,Very High,27.999506507926718,61540,0.016590143702805028
Ktm,RC 390,373,premium,2022,Digital,175,22.1,18.7,267939,31.0,83061,351000,405528,74,9.7,Will likely switch brand,High,30.999966410265024,137589,0.004032767157878124
Tvs,Raider 125,124,budget,2020,Digital,112,55.9,12.6,77344,28.0,21656,99000,115982,67,10.6,Will definitely switch,Very High,27.999586263963593,38638,0.03229207980548705
Hero,Super Splendor,125,budget,2023,Semi-Digital,110,56.8,12.6,65625,28.0,18375,84000,97672,59,8.0,Will definitely switch,Very High,28.000000000000004,32047,0.03431075436153657
Royal Enfield,Bullet 350,346,premium,2025,Analog,147,35.2,19.2,138281,28.0,38719,177000,207045,68,13.6,Will definitely switch,Very High,28.000231412847754,68764,0.011560771812890919
Yamaha,FZS 25,249,mid,2022,Digital,158,35.1,13.1,124219,28.0,34781,159000,187692,81,1.5,Likely to buy,Low,27.999742390455566,63473,0.015147688766702895
Bajaj,Pulsar NS200,199,mid,2024,Digital,129,46.3,13.3,118750,28.0,33250,152000,179091,75,8.9,Will likely switch brand,High,28.000000000000004,60341,0.01938958406620098
Royal Enfield,Interceptor 650,648,premium,2022,Analog,204,23.5,13.4,254962,31.0,79038,334000,383099,64,8.0,Will definitely switch,Very High,30.999913712631688,128137,0.003925878167262248
Ktm,RC 390,373,premium,2022,Digital,185,24.4,18.5,245038,31.0,75962,321000,365685,76,1.4,Likely to buy,Low,31.000089781992994,120647,0.0050710310786605955
Yamaha,Saluto RX,113,budget,2022,Analog,117,50.9,13.2,58594,28.0,16406,75000,89497,51,11.8,Will definitely switch,Very High,27.999453868996827,30903,0.029005441523179548
Hero,Mavrick 440,440,premium,2020,Digital,184,20.2,13.0,160305,31.0,49695,210000,241981,80,6.0,Will likely switch brand,High,31.000280714887246,81676,0.006678210272707361
Tvs,Ronin,225,mid,2023,Digital,154,29.6,13.7,128125,28.0,35875,164000,189727,72,8.8,Will likely switch brand,High,28.000000000000004,61602,0.01123298212695083
Honda,Shine,124,budget,2020,Semi-Digital,105,59.8,12.9,68750,28.0,19250,88000,102388,63,6.8,Will definitely switch,Very High,28.000000000000004,33638,0.03679532757745048
Suzuki,V-Strom SX,249,premium,2022,Digital,145,33.4,16.5,182812,28.0,51188,234000,274266,70,4.8,Might reconsider,Medium,28.000350086427588,91454,0.00852457103687661
Hero,Xpulse 200 4V,199,mid,2024,Digital,127,40.6,10.8,114844,28.0,32156,147000,167989,78,7.9,Will likely switch brand,High,27.99972136115078,53145,0.018851234307008198
Honda,Unicorn,160,mid,2025,Semi-Digital,130,40.8,13.9,84375,28.0,23625,108000,125304,69,5.7,Will likely switch brand,High,28.000000000000004,40929,0.022466960352422904
Honda,CB350 H'ness,348,premium,2025,Digital,152,30.6,17.4,158594,28.0,44406,203000,237013,77,5.1,Will likely switch brand,High,27.999798226919054,78419,0.009941226852535515
Tvs,Star City Plus,109,budget,2021,Semi-Digital,91,63.5,9.4,62500,28.0,17500,80000,94449,70,15.0,Will definitely switch,Very High,28.000000000000004,31949,0.04706243581191966
Suzuki,Gixxer SF 250,249,mid,2023,Digital,149,31.5,17.7,140625,28.0,39375,180000,211289,64,12.5,Will definitely switch,Very High,28.000000000000004,70664,0.00954143377080681
Honda,CB350 H'ness,348,premium,2024,Digital,152,31.4,16.4,167188,28.0,46812,214000,247360,73,7.3,Will likely switch brand,High,27.99961719740651,80172,0.009266655886157826
Ktm,Duke 200,199,mid,2020,Digital,131,42.4,10.4,157031,28.0,43969,201000,237744,76,9.3,Will likely switch brand,High,28.000203781418953,80713,0.013554074971397807
Tvs,Star City Plus,109,budget,2023,Semi-Digital,97,71.1,8.2,65625,28.0,18375,84000,97701,66,14.5,Will definitely switch,Very High,28.000000000000004,32076,0.04803021463444591
Honda,SP 125,124,budget,2023,Digital,112,57.5,13.1,73438,28.0,20562,94000,111612,73,6.2,Will likely switch brand,High,27.9991285165718,38174,0.03760796330143712
Yamaha,R3,321,premium,2025,Digital,142,31.4,14.0,332031,28.0,92969,425000,496025,71,12.6,Will definitely switch,Very High,28.000096376543155,163994,0.004494531525628748
Tvs,Ronin,225,mid,2022,Digital,154,31.8,13.3,125781,28.0,35219,161000,188865,71,5.5,Will likely switch brand,High,28.00025441044355,63084,0.011954570725121119
Honda,Hornet 2.0,184,mid,2021,Digital,127,46.3,11.3,100781,28.0,28219,129000,147915,83,3.4,Might reconsider,Medium,28.00031752016749,47134,0.025980461751681706
Ktm,RC 200,199,mid,2024,Digital,133,38.8,13.5,180469,28.0,50531,231000,263179,74,1.4,Likely to buy,Low,27.999822684228313,82710,0.01090968504325953
Yamaha,Saluto RX,113,budget,2024,Analog,107,52.1,10.7,59375,28.0,16625,76000,89455,59,2.4,Might reconsider,Medium,28.000000000000004,30080,0.03436252864568778
Royal Enfield,Classic 350,349,premium,2024,Semi-Digital,160,32.2,15.7,145312,28.0,40688,186000,213807,71,9.4,Will likely switch brand,High,28.00044043162299,68495,0.010692821095661042
Honda,Hornet 2.0,184,mid,2025,Digital,129,44.1,10.5,107031,28.0,29969,137000,163154,78,9.3,Will likely switch brand,High,28.000298978800537,56123,0.02108314843644655
Honda,CB200X,184,mid,2023,Digital,133,42.1,11.7,112500,28.0,31500,144000,164168,78,2.9,Might reconsider,Medium,28.000000000000004,51668,0.020002680181277717
Yamaha,R15 V4,155,mid,2022,Digital,135,42.6,13.4,143750,28.0,40250,184000,214427,71,3.0,Might reconsider,Medium,28.000000000000004,70677,0.014105499773815797
Hero,Xtreme 160R,163,mid,2023,Digital,137,45.2,12.7,111719,28.0,31281,143000,168360,82,10.1,Will definitely switch,Very High,27.999713567074537,56641,0.02201473033974816
Ktm,Duke 390,373,premium,2022,Digital,208,19.5,14.6,244275,31.0,75725,320000,366267,74,5.1,Will likely switch brand,High,30.999897656329956,121992,0.003939748871724725
Tvs,Apache RTR 160 4V,159,mid,2024,Digital,123,42.5,13.3,100000,28.0,28000,128000,150350,75,2.6,Might reconsider,Medium,28.000000000000004,50350,0.021200532091785834
Royal Enfield,Scram 411,411,premium,2025,Semi-Digital,187,22.2,18.3,164885,31.0,51115,216000,253389,71,11.3,Will definitely switch,Very High,31.000394214149257,88504,0.006220475237678037
Tvs,Apache RR 310,312,premium,2025,Digital,143,31.5,17.1,232031,28.0,64969,297000,333970,72,3.9,Might reconsider,Medium,28.000137912606505,101939,0.006791029134353385
Royal Enfield,Thunderbird 350X,346,premium,2024,Semi-Digital,146,29.2,15.5,153125,28.0,42875,196000,228546,69,12.3,Will definitely switch,Very High,28.000000000000004,75421,0.008815730750045943
Tvs,Apache RTR 160,159,mid,2025,Semi-Digital,128,39.9,13.3,95312,28.0,26688,122000,141828,67,14.8,Will definitely switch,Very High,28.000671478932347,46516,0.01884888738471952
Honda,CB350 H'ness,348,premium,2025,Digital,144,34.8,15.3,176562,28.0,49438,226000,265250,74,4.5,Might reconsider,Medium,28.000362478902595,88688,0.009708576814326107
Tvs,Star City Plus,109,budget,2025,Semi-Digital,98,72.2,9.6,66406,28.0,18594,85000,101846,67,7.3,Will likely switch brand,High,28.000481884167094,35440,0.04749720165740432
Honda,Shine,124,budget,2025,Semi-Digital,120,54.4,10.4,69531,28.0,19469,89000,106207,64,9.1,Will definitely switch,Very High,28.000460226373846,36676,0.0327812667714934
Yamaha,FZ-S V3,149,mid,2022,Semi-Digital,118,53.6,13.3,103906,28.0,29094,133000,157790,65,7.9,Will definitely switch,Very High,28.000307970665794,53884,0.022079979719880856
Royal Enfield,Hunter 350,349,premium,2025,Semi-Digital,164,35.0,18.5,129688,28.0,36312,166000,191364,72,1.6,Likely to buy,Low,27.999506507926718,61676,0.013168621057252148
Yamaha,FZ-S V3,149,mid,2021,Semi-Digital,118,48.4,13.5,93750,28.0,26250,120000,141909,65,14.9,Will definitely switch,Very High,28.000000000000004,48159,0.02216913655934437
Tvs,Apache RR 310,312,premium,2025,Digital,142,30.9,14.2,207031,28.0,57969,265000,310170,74,10.3,Will definitely switch,Very High,28.000154566224385,103139,0.007372086275268401
Ktm,Duke 125,124,mid,2020,Digital,108,57.1,10.5,139844,28.0,39156,179000,210350,70,4.0,Might reconsider,Medium,27.999771173593434,70506,0.019001663893510816
Bajaj,Pulsar RS200,199,mid,2021,Digital,133,45.2,11.5,137500,28.0,38500,176000,201929,75,7.7,Will likely switch brand,High,28.000000000000004,64429,0.016788078978254732
Honda,Unicorn,160,mid,2021,Semi-Digital,124,44.8,10.3,84375,28.0,23625,108000,125681,72,14.9,Will definitely switch,Very High,28.000000000000004,41306,0.025664977204191565
Hero,HF Deluxe,97,budget,2023,Analog,89,72.2,9.7,55469,28.0,15531,71000,82647,62,9.6,Will definitely switch,Very High,27.999423101191656,27178,0.05416288552518543
Honda,Shine,124,budget,2021,Semi-Digital,118,53.5,11.1,75000,28.0,21000,96000,112324,64,12.1,Will definitely switch,Very High,28.000000000000004,37324,0.030483244898685945
Honda,CD 110 Dream,109,budget,2021,Analog,85,74.7,9.0,58594,28.0,16406,75000,89302,67,13.3,Will definitely switch,Very High,27.999453868996827,30708,0.05604465745448031
Yamaha,MT-03,321,premium,2024,Digital,143,32.0,13.5,341406,28.0,95594,437000,500545,73,8.0,Will likely switch brand,High,28.000093730045748,159139,0.004666913064759412
Hero,HF Deluxe,97,budget,2020,Analog,90,68.7,8.0,58594,28.0,16406,75000,90578,63,14.4,Will definitely switch,Very High,27.999453868996827,31984,0.04778312614542163
Hero,Xpulse 200 4V,199,mid,2023,Digital,140,42.1,12.8,111719,28.0,31281,143000,166233,76,11.7,Will definitely switch,Very High,27.999713567074537,54514,0.019247682469786382
Honda,CD 110 Dream,109,budget,2023,Analog,91,66.8,9.2,62500,28.0,17500,80000,93107,59,8.5,Will definitely switch,Very High,28.000000000000004,30607,0.04232979260420806
Hero,Xpulse 200 4V,199,mid,2024,Digital,122,37.5,12.4,117188,28.0,32812,150000,174962,74,2.6,Might reconsider,Medium,27.999453868996827,57774,0.015860586870291835
Tvs,Ronin,225,mid,2022,Digital,162,33.6,16.7,132031,28.0,36969,169000,194683,64,3.3,Might reconsider,Medium,28.000242367322826,62652,0.011045648567157893
Tvs,Jupiter 110,109,budget,2023,Semi-Digital,88,73.9,8.5,59375,28.0,16625,76000,89033,61,5.7,Will definitely switch,Very High,28.000000000000004,29658,0.0506317882133591
Hero,Xpulse 200 4V,199,mid,2024,Digital,131,41.5,10.7,116406,28.0,32594,149000,177103,68,8.0,Will likely switch brand,High,28.000274899919248,60697,0.015934230363122026
Bajaj,CT100,102,budget,2020,Analog,85,63.5,8.5,45312,28.0,12688,58000,70244,55,13.0,Will definitely switch,Very High,28.00141242937853,24932,0.04971954900062639
Yamaha,FZS 25,249,mid,2022,Digital,162,32.4,14.7,125781,28.0,35219,161000,187357,75,6.9,Will likely switch brand,High,28.00025441044355,61576,0.012969891704072973
Royal Enfield,Meteor 350,349,premium,2024,Semi-Digital,141,33.3,19.9,157812,28.0,44188,202000,230411,68,4.1,Might reconsider,Medium,28.000405545839353,72599,0.00982765579768327
Ktm,Duke 200,199,mid,2021,Digital,137,40.3,11.2,145312,28.0,40688,186000,214242,75,1.1,Likely to buy,Low,28.00044043162299,68930,0.014107878007113451
Tvs,Apache RR 310,312,premium,2024,Digital,164,35.8,18.3,227344,28.0,63656,291000,331997,78,11.3,Will definitely switch,Very High,27.99985924414104,104653,0.00841091937577749
Tvs,Star City Plus,109,budget,2025,Semi-Digital,85,67.4,8.8,60156,28.0,16844,77000,92597,66,1.0,Likely to buy,Low,28.00053195026265,32441,0.0480404332753761
Tvs,Ronin,225,mid,2021,Digital,144,35.5,19.3,121094,28.0,33906,155000,180088,74,2.3,Might reconsider,Medium,27.999735742481047,58994,0.014587312869263916
Suzuki,Access 125,124,budget,2020,Semi-Digital,109,56.1,12.4,69531,28.0,19469,89000,105141,65,12.5,Will definitely switch,Very High,28.000460226373846,35610,0.03468199845921192
Hero,Xpulse 200,199,mid,2022,Digital,132,45.5,10.9,111719,28.0,31281,143000,167991,79,5.5,Will likely switch brand,High,27.999713567074537,56272,0.021396979600097624
Bajaj,Pulsar N160,160,mid,2024,Digital,134,38.6,11.4,95312,28.0,26688,122000,141876,72,6.7,Will likely switch brand,High,28.000671478932347,46564,0.019588936818066484
Bajaj,Pulsar NS200,199,mid,2022,Digital,129,38.5,10.6,116406,28.0,32594,149000,173062,76,1.6,Likely to buy,Low,28.000274899919248,56656,0.016907235557199154
Tvs,Star City Plus,109,budget,2023,Semi-Digital,90,66.0,9.1,68750,28.0,19250,88000,102385,61,14.3,Will definitely switch,Very High,28.000000000000004,33635,0.03932216633295893
Suzuki,Gixxer SF 250,249,mid,2023,Digital,141,29.1,15.6,146094,28.0,40906,187000,216605,66,2.8,Might reconsider,Medium,27.999780962941667,70511,0.008866831328916693
Honda,CD 110 Dream,109,budget,2021,Analog,91,78.4,8.2,61719,28.0,17281,79000,91881,67,7.2,Will likely switch brand,High,27.99948152108751,30162,0.057169599808447887
Royal Enfield,Bullet 350,346,premium,2023,Analog,163,31.5,17.8,128125,28.0,35875,164000,192737,65,7.9,Will definitely switch,Very High,28.000000000000004,64612,0.010623284579504714
Bajaj,Platina 110 H-Gear,115,budget,2021,Semi-Digital,106,60.1,12.6,60938,28.0,17062,78000,93669,71,9.7,Will likely switch brand,High,27.998949752207164,32731,0.04555509293362799
Yamaha,R15M,155,mid,2024,Digital,133,40.8,11.0,153906,28.0,43094,197000,226395,70,10.0,Will likely switch brand,High,28.000207919119465,72489,0.012615119591863778
Suzuki,Gixxer 250,249,mid,2024,Digital,165,31.8,16.5,151562,28.0,42438,194000,229522,70,5.8,Will likely switch brand,High,28.00042226943429,77960,0.009698416709509328
Royal Enfield,Interceptor 650,648,premium,2023,Analog,209,24.1,16.7,238931,31.0,74069,313000,353614,67,1.8,Likely to buy,Low,31.000163227040446,114683,0.004566278484449145
Bajaj,Dominar 400,373,premium,2021,Digital,210,22.2,17.0,196947,31.0,61053,258000,293894,70,11.7,Will definitely switch,Very High,30.999710582034762,96947,0.00528762070678544
Royal Enfield,Interceptor 650,648,premium,2020,Analog,180,20.6,17.9,241985,31.0,75015,317000,370591,68,13.8,Will definitely switch,Very High,30.99985536293572,128606,0.003779908308620555
Royal Enfield,Himalayan 450,452,premium,2023,Digital,191,23.8,13.3,232824,31.0,72176,305000,351632,85,5.3,Will likely switch brand,High,31.000240525031785,118808,0.005753173772580425
Hero,Xpulse 200,199,mid,2022,Digital,139,40.3,12.9,108594,28.0,30406,139000,158972,71,12.3,Will definitely switch,Very High,27.9997053244194,50378,0.01799876707847923
Royal Enfield,Classic 350,349,premium,2022,Semi-Digital,156,34.1,17.9,141406,28.0,39594,181000,207110,71,14.4,Will definitely switch,Very High,28.000226298742625,65704,0.011689923229201872
Ktm,Duke 125,124,mid,2025,Digital,118,58.1,11.3,138281,28.0,38719,177000,202640,80,14.4,Will definitely switch,Very High,28.000231412847754,64359,0.02293722858270825
Suzuki,V-Strom SX,249,premium,2025,Digital,145,33.3,15.1,177344,28.0,49656,227000,266891,74,5.3,Will likely switch brand,High,27.99981955972573,89547,0.00923298275325882
Bajaj,Platina 110 H-Gear,115,budget,2024,Semi-Digital,106,59.6,10.9,64844,28.0,18156,83000,100458,59,9.4,Will definitely switch,Very High,27.999506507926718,35614,0.03500368313125884
Honda,Unicorn,160,mid,2020,Semi-Digital,130,40.5,13.3,96094,28.0,26906,123000,142030,64,9.9,Will definitely switch,Very High,27.999666992736277,45936,0.01824966556361332
Royal Enfield,Bullet 350,346,premium,2020,Analog,165,30.9,15.7,135938,28.0,38062,174000,198131,60,11.1,Will definitely switch,Very High,27.999529197133988,62193,0.00935744532657686
Ktm,Duke 390,373,premium,2024,Digital,184,21.2,17.6,254198,31.0,78802,333000,388247,72,12.6,Will definitely switch,Very High,31.000243904358022,134049,0.003931517822417172
Bajaj,Pulsar RS200,199,mid,2021,Digital,128,37.2,13.6,129688,28.0,36312,166000,190764,68,2.0,Likely to buy,Low,27.999506507926718,61076,0.013260363590614584
Bajaj,CT100,102,budget,2025,Analog,100,67.3,8.3,48438,28.0,13562,62000,73671,55,7.0,Will definitely switch,Very High,27.998678723316406,25233,0.050243650825969516
